examples_seen,loss,lr,seconds
55328,0.266352117061615,0.03471261507837771,17.480421781539917
56352,0.19335822761058807,0.034429515357606924,17.77274513244629
57376,0.4685366451740265,0.03414641563683614,18.103042364120483
58400,0.23998504877090454,0.03386331591606536,18.456828117370605
59424,0.21026909351348877,0.033580216195294575,18.77827548980713
60448,0.24863788485527039,0.03329711647452379,19.081613302230835
61472,0.15695951879024506,0.033014016753753005,19.403321981430054
62496,0.24620459973812103,0.03273091703298222,19.72910475730896
63520,0.32046598196029663,0.03244781731221144,20.012494564056396
64544,0.10335099697113037,0.032164717591440656,20.398508548736572
65568,0.12589868903160095,0.03188161787066988,20.738044261932373
66592,0.3707403838634491,0.03159851814989909,21.013402223587036
67616,0.11226291954517365,0.03131541842912831,21.34243083000183
68640,0.20971283316612244,0.03103231870835752,21.679702281951904
69664,0.28528928756713867,0.030749218987586743,22.031522512435913
70688,0.21028576791286469,0.03046611926681596,22.35522985458374
71712,0.14514487981796265,0.030183019546045176,22.727959394454956
72736,0.13288822770118713,0.02989991982527439,23.050082206726074
73760,0.09582659602165222,0.029616820104503606,23.82799768447876
74784,0.14775869250297546,0.029333720383732827,24.259093523025513
75808,0.19025254249572754,0.029050620662962042,24.5761935710907
76832,0.34162068367004395,0.02876752094219126,24.88446068763733
77857,0.11290331929922104,0.028484144756849412,25.209941625595093
78881,0.10569002479314804,0.028201045036078627,25.502984046936035
79905,0.1634281724691391,0.02791794531530785,25.798736572265625
80929,0.12384429574012756,0.027634845594537064,26.104892015457153
81953,0.19151003658771515,0.02735174587376628,26.444457292556763
82977,0.34508049488067627,0.027068646152995493,26.744680643081665
84001,0.11393094807863235,0.02678554643222471,27.0571072101593
85025,0.1679133176803589,0.026502446711453933,27.353235006332397
86049,0.16063150763511658,0.026219346990683148,27.642838716506958
87073,0.26868751645088196,0.025936247269912362,28.003984212875366
88097,0.17587807774543762,0.025653147549141577,28.354202032089233
89121,0.22672982513904572,0.025370047828370795,28.621686458587646
90145,0.08732638508081436,0.02508694810760001,28.928884029388428
91169,0.1733454167842865,0.02480384838682923,29.242406368255615
92193,0.22082965075969696,0.024520748666058446,29.53598141670227
93217,0.15752659738063812,0.02423764894528766,29.84090495109558
94241,0.1340024620294571,0.023954549224516883,30.149300575256348
95265,0.12791341543197632,0.023671449503746098,30.471689462661743
96289,0.15442855656147003,0.023388349782975312,30.78800678253174
97313,0.2713693678379059,0.02310525006220453,31.112123250961304
98337,1.2729748487472534,0.022822150341433745,31.487069368362427
99361,0.3378133475780487,0.02253905062066296,31.78590154647827
100385,0.11286725103855133,0.02225595089989218,32.10360288619995
101409,0.1072191596031189,0.021972851179121396,32.430598735809326
102433,0.07635752111673355,0.021689751458350615,32.74199938774109
103457,0.08448167145252228,0.02140665173757983,33.04459047317505
104481,0.10746771842241287,0.021123552016809044,33.402968645095825
105505,0.09350104629993439,0.020840452296038266,33.73041391372681
106529,0.07431437075138092,0.02055735257526748,34.03034591674805
107553,0.10054268687963486,0.020274252854496695,34.38893938064575
108577,0.16207630932331085,0.019991153133725917,34.69340181350708
109601,0.1530950367450714,0.01970805341295513,34.99347472190857
110625,0.1169162318110466,0.01942495369218435,35.33272385597229
111649,0.2708091735839844,0.019141853971413565,35.653624296188354
112673,0.12335069477558136,0.01885875425064278,35.92684245109558
113697,0.14080281555652618,0.018575654529872,36.226508140563965
114721,0.40315261483192444,0.018292554809101216,36.52497887611389
115745,0.09562833607196808,0.01800945508833043,36.85984468460083
116769,0.1290586143732071,0.01772635536755965,37.14982032775879
117793,0.14232449233531952,0.017443255646788863,37.47906565666199
118817,0.7654186487197876,0.017160155926018078,37.785401821136475
119841,0.077140673995018,0.0168770562052473,38.10536980628967
120865,0.2640876770019531,0.016593956484476514,38.39412021636963
121889,0.22282086312770844,0.016310856763705733,38.720088958740234
122913,0.09344948828220367,0.016027757042934947,39.0142023563385
123937,0.08413156867027283,0.015744657322164162,39.29728126525879
124961,0.07485172152519226,0.015461557601393384,39.59659814834595
125985,0.32837265729904175,0.015178457880622599,39.88192534446716
127009,0.3103470802307129,0.014895358159851813,40.170772314071655
128033,0.052294064313173294,0.014612258439081033,40.50962162017822
129057,0.22759714722633362,0.014329158718310248,40.86775732040405
